,Temperature,Humidity,Light,CO2,HumidityRatio 
0,23.18,27.272,426.0,721.25,0.004792988
1,23.15,27.2675,429.5,714.0,0.004792988
2,23.15,27.245,426.0,713.5,0.004792988
3,23.15,27.2,426.0,708.25,0.004792988
4,23.1,27.2,426.0,704.5,0.004792988
5,23.1,27.2,419.0,701.0,0.004792988
6,23.1,27.2,419.0,701.6666667000001,0.004792988
7,23.1,27.2,419.0,699.0,0.004792988
8,23.1,27.2,419.0,689.3333332999999,0.004792988
9,23.075,27.175,419.0,688.0,0.004792988
10,23.075,27.15,419.0,690.25,0.004792988
11,23.1,27.1,419.0,691.0,0.004792988
12,23.1,27.16666667,419.0,683.5,0.004792988
13,23.05,27.15,419.0,687.5,0.004792988
14,23.0,27.125,419.0,686.0,0.004792988
15,23.0,27.125,418.5,680.5,0.004792988
16,23.0,27.2,0.0,681.5,0.004792988
17,22.945,27.29,0.0,685.0,0.004792988
18,22.945,27.39,0.0,685.0,0.004792988
19,22.89,27.39,0.0,689.0,0.004792988
20,22.89,27.39,0.0,689.5,0.004792988
21,22.89,27.39,0.0,689.0,0.004792988
22,22.89,27.445,0.0,691.0,0.004792988
23,22.89,27.5,0.0,688.0,0.004792988
24,22.89,27.5,0.0,689.5,0.004792988
25,22.79,27.445,0.0,689.0,0.004792988
26,22.79,27.5,0.0,685.6666667000001,0.004792988
27,22.79,27.5,0.0,687.0,0.004792988
28,22.79,27.5,0.0,688.0,0.004792988
29,22.745,27.5,0.0,670.0,0.004792988
30,22.7,27.46333333,0.0,668.6666667000001,0.004792988
31,22.7,27.5,0.0,670.0,0.004792988
32,22.7,27.5,0.0,667.0,0.004792988
33,22.66666667,27.42666667,0.0,664.5,0.004792988
34,22.7,27.6,0.0,670.0,0.004792988
35,22.6,27.42666667,0.0,670.3333332999999,0.004792988
36,22.6,27.39,0.0,672.0,0.004792988
37,22.6,27.35666667,0.0,658.0,0.004792988
38,22.6,27.445,0.0,660.5,0.004792988
39,22.6,27.42666667,0.0,658.0,0.004792988
40,22.6,27.445,0.0,655.0,0.004792988
41,22.6,27.445,0.0,654.25,0.004792988
42,22.6,27.39,0.0,648.0,0.004792988
43,22.5,27.32333333,0.0,648.6666667000001,0.004792988
44,22.5,27.445,0.0,646.0,0.004792988
45,22.5,27.5,0.0,646.0,0.004792988
46,22.5,27.445,0.0,641.5,0.004792988
47,22.39,27.29,0.0,639.0,0.004792988
48,22.5,27.5,0.0,640.0,0.004792988
49,22.39,27.34,0.0,630.5,0.004792988
50,22.39,27.35666667,0.0,629.3333332999999,0.004792988
51,22.39,27.5,0.0,632.0,0.004792988
52,22.39,27.5,0.0,636.5,0.004792988
53,22.39,27.5,0.0,627.5,0.004792988
54,22.39,27.39,0.0,626.0,0.004792988
55,22.39,27.5,0.0,625.5,0.004792988
56,22.34,27.39,0.0,623.5,0.004792988
57,22.39,27.46333333,0.0,624.6666667000001,0.004792988
58,22.39,27.39,0.0,622.0,0.004792988
59,22.29,27.39,0.0,621.0,0.004792988
60,22.34,27.39,0.0,626.5,0.004792988
61,22.29,27.39,0.0,622.0,0.004792988
62,22.39,27.39,0.0,620.0,0.004792988
63,22.29,27.39,0.0,621.5,0.004792988
64,22.29,27.35666667,0.0,616.3333332999999,0.004792988
65,22.29,27.34,0.0,609.0,0.004792988
66,22.29,27.39,0.0,614.0,0.004792988
67,22.29,27.34,0.0,613.5,0.004792988
68,22.29,27.34,0.0,611.0,0.004792988
69,22.29,27.39,0.0,612.0,0.004792988
70,22.29,27.29,0.0,608.0,0.004792988
71,22.29,27.29,0.0,605.5,0.004792988
72,22.2675,27.315,0.0,608.5,0.004792988
73,22.2,27.29,0.0,608.5,0.004792988
74,22.245,27.29,0.0,602.5,0.004792988
75,22.2,27.29,0.0,598.0,0.004792988
76,22.2,27.29,0.0,595.0,0.004792988
77,22.2,27.29,0.0,591.0,0.004792988
78,22.245,27.245,0.0,591.0,0.004792988
79,22.2,27.2,0.0,595.0,0.004792988
80,22.2,27.29,0.0,594.3333332999999,0.004792988
81,22.2,27.29,0.0,593.5,0.004792988
82,22.2,27.29,0.0,592.0,0.004792988
83,22.15,27.245,0.0,586.5,0.004792988
84,22.2,27.2,0.0,586.0,0.004792988
85,22.15,27.245,0.0,586.0,0.004792988
86,22.2,27.245,0.0,584.5,0.004792988
87,22.1,27.245,0.0,584.5,0.004792988
88,22.1,27.2,0.0,585.5,0.004792988
89,22.13333333,27.2,0.0,584.6666667000001,0.004792988
90,22.2,27.2,0.0,577.0,0.004792988
91,22.1,27.2,0.0,580.0,0.004792988
92,22.125,27.2,0.0,582.0,0.004792988
93,22.2,27.2,0.0,580.0,0.004792988
94,22.1,27.15,0.0,578.0,0.004792988
95,22.1,27.2,0.0,576.5,0.004792988
96,22.1,27.2,0.0,580.0,0.004792988
97,22.1,27.2,0.0,572.5,0.004792988
98,22.1,27.2,0.0,567.0,0.004792988
99,22.1,27.2,0.0,568.0,0.004792988
100,22.1,27.2,0.0,574.5,0.004792988
101,22.1,27.2,0.0,564.3333332999999,0.004792988
102,22.1,27.2,0.0,563.0,0.004792988
103,22.1,27.15,0.0,564.5,0.004792988
104,22.06666667,27.16666667,0.0,566.3333332999999,0.004792988
105,22.1,27.1,0.0,562.0,0.004792988
106,22.0,27.1,0.0,565.5,0.004792988
107,22.0,27.1,0.0,570.0,0.004792988
108,22.05,27.15,0.0,562.0,0.004792988
109,22.0,27.1,0.0,560.0,0.004792988
110,22.0,27.1,0.0,558.0,0.004792988
111,22.0,27.1,0.0,556.0,0.004792988
112,22.0,27.1,0.0,557.0,0.004792988
113,21.9175,27.1,0.0,556.5,0.004792988
114,21.945,27.1,0.0,557.5,0.004792988
115,21.92666667,27.1,0.0,555.0,0.004792988
116,21.89,27.1,0.0,555.0,0.004792988
117,21.89,27.1,0.0,553.0,0.004792988
118,21.89,27.1,0.0,549.5,0.004792988
119,21.89,27.1,0.0,548.5,0.004792988
120,21.89,27.1,0.0,551.5,0.004792988
121,21.89,27.1,0.0,548.5,0.004792988
122,21.89,27.1,0.0,548.0,0.004792988
123,21.89,27.1,0.0,547.5,0.004792988
124,21.89,27.1,0.0,553.0,0.004792988
