date,Temperature,Temperature pprox.,Humidity,Humidity approx.,Light,Light approx.,CO2,CO2 aprrox.,HumidityRatio ,HumidityRatio x 1000000 approx.,Occupancy
2004-02-15 17:51,23.18,23.18,27.272,27.27,426,426,721.25,721,0.004792988,4792,YES
2004-02-15 17:51,23.15,23.15,27.2675,27.27,429.5,429,714,714,0.004792988,4792,YES
2004-02-15 17:53,23.15,23.15,27.245,27.25,426,426,713.5,713,0.004792988,4792,YES
2004-02-15 17:54,23.15,23.15,27.2,27.2,426,426,708.25,708,0.004792988,4792,YES
2004-02-15 17:55,23.1,23.1,27.2,27.2,426,426,704.5,704,0.004792988,4792,YES
2004-02-15 17:55,23.1,23.1,27.2,27.2,419,419,701,701,0.004792988,4792,YES
2004-02-15 17:57,23.1,23.1,27.2,27.2,419,419,701.6666667,701,0.004792988,4792,YES
2004-02-15 17:57,23.1,23.1,27.2,27.2,419,419,699,699,0.004792988,4792,YES
2004-02-15 17:58,23.1,23.1,27.2,27.2,419,419,689.3333333,689,0.004792988,4792,YES
2004-02-15 18:00,23.075,23.08,27.175,27.18,419,419,688,688,0.004792988,4792,YES
2004-02-15 18:01,23.075,23.08,27.15,27.15,419,419,690.25,690,0.004792988,4792,YES
2004-02-15 18:02,23.1,23.1,27.1,27.1,419,419,691,691,0.004792988,4792,YES
2004-02-15 18:03,23.1,23.1,27.16666667,27.17,419,419,683.5,683,0.004792988,4792,YES
2004-02-15 18:04,23.05,23.05,27.15,27.15,419,419,687.5,687,0.004792988,4792,YES
2004-02-15 18:04,23,23,27.125,27.13,419,419,686,686,0.004792988,4792,YES
2004-02-15 18:06,23,23,27.125,27.13,418.5,418,680.5,680,0.004792988,4792,YES
2004-02-15 18:07,23,23,27.2,27.2,0,0,681.5,681,0.004792988,4792,NO
2004-02-15 18:08,22.945,22.95,27.29,27.29,0,0,685,685,0.004792988,4792,NO
2004-02-15 18:08,22.945,22.95,27.39,27.39,0,0,685,685,0.004792988,4792,NO
2004-02-15 18:10,22.89,22.89,27.39,27.39,0,0,689,689,0.004792988,4792,NO
2004-02-15 18:10,22.89,22.89,27.39,27.39,0,0,689.5,689,0.004792988,4792,NO
2004-02-15 18:11,22.89,22.89,27.39,27.39,0,0,689,689,0.004792988,4792,NO
2004-02-15 18:13,22.89,22.89,27.445,27.45,0,0,691,691,0.004792988,4792,NO
2004-02-15 18:14,22.89,22.89,27.5,27.5,0,0,688,688,0.004792988,4792,NO
2004-02-15 18:15,22.89,22.89,27.5,27.5,0,0,689.5,689,0.004792988,4792,NO
2004-02-15 18:16,22.79,22.79,27.445,27.45,0,0,689,689,0.004792988,4792,NO
2004-02-15 18:16,22.79,22.79,27.5,27.5,0,0,685.6666667,685,0.004792988,4792,NO
2004-02-15 18:17,22.79,22.79,27.5,27.5,0,0,687,687,0.004792988,4792,NO
2004-02-15 18:19,22.79,22.79,27.5,27.5,0,0,688,688,0.004792988,4792,NO
2004-02-15 18:20,22.745,22.75,27.5,27.5,0,0,670,670,0.004792988,4792,NO
2004-02-15 18:21,22.7,22.7,27.46333333,27.46,0,0,668.6666667,668,0.004792988,4792,NO
2004-02-15 18:22,22.7,22.7,27.5,27.5,0,0,670,670,0.004792988,4792,NO
2004-02-15 18:23,22.7,22.7,27.5,27.5,0,0,667,667,0.004792988,4792,NO
2004-02-15 18:23,22.66666667,22.67,27.42666667,27.43,0,0,664.5,664,0.004792988,4792,NO
2004-02-15 18:24,22.7,22.7,27.6,27.6,0,0,670,670,0.004792988,4792,NO
2004-02-15 18:26,22.6,22.6,27.42666667,27.43,0,0,670.3333333,670,0.004792988,4792,NO
2004-02-15 18:27,22.6,22.6,27.39,27.39,0,0,672,672,0.004792988,4792,NO
2004-02-15 18:28,22.6,22.6,27.35666667,27.36,0,0,658,658,0.004792988,4792,NO
2004-02-15 18:29,22.6,22.6,27.445,27.45,0,0,660.5,660,0.004792988,4792,NO
2004-02-15 18:29,22.6,22.6,27.42666667,27.43,0,0,658,658,0.004792988,4792,NO
2004-02-15 18:30,22.6,22.6,27.445,27.45,0,0,655,655,0.004792988,4792,NO
2004-02-15 18:32,22.6,22.6,27.445,27.45,0,0,654.25,654,0.004792988,4792,NO
2004-02-15 18:33,22.6,22.6,27.39,27.39,0,0,648,648,0.004792988,4792,NO
2004-02-15 18:34,22.5,22.5,27.32333333,27.32,0,0,648.6666667,648,0.004792988,4792,NO
2004-02-15 18:35,22.5,22.5,27.445,27.45,0,0,646,646,0.004792988,4792,NO
2004-02-15 18:36,22.5,22.5,27.5,27.5,0,0,646,646,0.004792988,4792,NO
